REGION,REP_CARD,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,bA_BENTHIC_REP_CARD,bBENTHIC_SEC_CODE,bGEN_MHI_STRUCTURE,bPROTECTION_DS,AREA_HA,NH,MARIAN_2017,ASRAMP_2018,NOTES
MHI,Maui-nui,Molokai,MOL_NW,Forereef,Mid,MOL_SI,MOL_NW,SI,OPEN,601.1779629,2405,,MOL_NW,
MHI,Maui-nui,Molokai,MOL_NW,Forereef,Shallow,MOL_SI,MOL_NW,SI,OPEN,501.1542337,2005,,MOL_NW,
MHI,Maui-nui,Molokai,MOL_PALI,Forereef,Deep,MOL_CM,MOL_PA,CM,OPEN,634.0842128,2536,,MOL_PALI,
MHI,Maui-nui,Molokai,MOL_PALI,Forereef,Mid,MOL_CM,MOL_PA,CM,OPEN,467.9624676,1872,,MOL_PALI,
MHI,Maui-nui,Molokai,MOL_PALI,Forereef,Shallow,MOL_CM,MOL_PA,CM,OPEN,516.2585992,2065,,MOL_PALI,
MHI,Maui-nui,Molokai,MOL_SOUTH,Forereef,Deep,MOL_CR,MOL_SO,CR,OPEN,603.9775235,2416,,MOL_SOUTH,
MHI,Maui-nui,Molokai,MOL_SOUTH,Forereef,Mid,MOL_CR,MOL_SO,CR,OPEN,1293.344283,5173,,MOL_SOUTH,
MHI,Maui-nui,Molokai,MOL_SOUTH,Forereef,Shallow,MOL_CR,MOL_SO,CR,OPEN,4232.003508,16928,,MOL_SOUTH,
MHI,Maui-nui,Molokai,MOL_WEST,Forereef,Deep,MOL_SI,MOL_WE,SI,OPEN,1384.213479,5537,,MOL_WEST,
MHI,Maui-nui,Molokai,MOL_WEST,Forereef,Mid,MOL_SI,MOL_WE,SI,OPEN,1250.749123,5003,,MOL_WEST,
MHI,Maui-nui,Molokai,MOL_WEST,Forereef,Shallow,MOL_SI,MOL_WE,SI,OPEN,512.2388267,2049,,MOL_WEST,
MHI,Kaa-Nii,Niihau,NII_EAST,Forereef,Deep,NII_SI,NII_EA,SI,OPEN,1027.496786,4110,,NII_EAST,
MHI,Kaa-Nii,Niihau,NII_EAST,Forereef,Mid,NII_SI,NII_EA,SI,OPEN,1137.990268,4552,,NII_EAST,
MHI,Kaa-Nii,Niihau,NII_EAST,Forereef,Shallow,NII_SI,NII_EA,SI,OPEN,613.9646175,2456,,NII_EAST,
MHI,Kaa-Nii,Niihau,NII_LEHUA,Forereef,Deep,NII_CM,NII_LE,CM,OPEN,263,1052,,NII_LEHUA,
MHI,Kaa-Nii,Niihau,NII_LEHUA,Forereef,Mid,NII_CM,NII_LE,CM,OPEN,487.75,1951,,NII_LEHUA,
MHI,Kaa-Nii,Niihau,NII_LEHUA,Forereef,Shallow,NII_CM,NII_LE,CM,OPEN,354.75,1419,,NII_LEHUA,
MHI,Kaa-Nii,Niihau,NII_WEST,Forereef,Deep,NII_SI,NII_WE,SI,OPEN,1468.465202,5874,,NII_WEST,
MHI,Kaa-Nii,Niihau,NII_WEST,Forereef,Mid,NII_SI,NII_WE,SI,OPEN,2992.988492,11972,,NII_WEST,
MHI,Kaa-Nii,Niihau,NII_WEST,Forereef,Shallow,NII_SI,NII_WE,SI,OPEN,919.395945,3678,,NII_WEST,
MHI,Oahu,Oahu,OAH_EAST,Forereef,Deep,OAH_CM,OAH_EA,SI,OPEN,978.9371021,3916,,OAH_EAST,
MHI,Oahu,Oahu,OAH_EAST,Forereef,Mid,OAH_CM,OAH_EA,SI,OPEN,1848.277607,7393,,OAH_EAST,
MHI,Oahu,Oahu,OAH_EAST,Forereef,Shallow,OAH_CM,OAH_EA,SI,OPEN,1541.871579,6167,,OAH_EAST,
MHI,Oahu,Oahu,OAH_KAENA,Forereef,Deep,OAH_CM,OAH_KA,SI,OPEN,673.0399306,2692,,OAH_KAENA,
MHI,Oahu,Oahu,OAH_KAENA,Forereef,Mid,OAH_CM,OAH_KA,SI,OPEN,632.1302084,2529,,OAH_KAENA,
MHI,Oahu,Oahu,OAH_KAENA,Forereef,Shallow,OAH_CM,OAH_KA,SI,OPEN,343.0090114,1372,,OAH_KAENA,
MHI,Oahu,Oahu,OAH_NE,Forereef,Deep,OAH_SI,OAH_NE,SI,OPEN,605.4764457,2422,,OAH_NE,
MHI,Oahu,Oahu,OAH_NE,Forereef,Mid,OAH_SI,OAH_NE,SI,OPEN,3213.604407,12854,,OAH_NE,
MHI,Oahu,Oahu,OAH_NE,Forereef,Shallow,OAH_SI,OAH_NE,SI,OPEN,3680.967178,14724,,OAH_NE,
MHI,Oahu,Oahu,OAH_NORTH,Forereef,Deep,OAH_SI,OAH_NO,SI,OPEN,556.2921428,2225,,OAH_NORTH,
MHI,Oahu,Oahu,OAH_NORTH,Forereef,Mid,OAH_SI,OAH_NO,SI,OPEN,1146.80066,4587,,OAH_NORTH,
MHI,Oahu,Oahu,OAH_NORTH,Forereef,Shallow,OAH_SI,OAH_NO,SI,OPEN,856.7078885,3427,,OAH_NORTH,
MHI,Oahu,Oahu,OAH_SOUTH,Forereef,Deep,OAH_SI,OAH_SO,SI,OPEN,1457.29677,5829,,OAH_SOUTH,
MHI,Oahu,Oahu,OAH_SOUTH,Forereef,Mid,OAH_SI,OAH_SO,SI,OPEN,3926.206706,15705,,OAH_SOUTH,
MHI,Oahu,Oahu,OAH_SOUTH,Forereef,Shallow,OAH_SI,OAH_SO,SI,OPEN,3658.205214,14633,,OAH_SOUTH,
NWHI,NWHI,French Frigate,French Frigate,Backreef,Mid,FFS,FFS,NOT,PMNM,56.00798857,35,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Backreef,Shallow,FFS,FFS,NOT,PMNM,1079.678505,635,,French Frigate,
NWHI,NWHI,Kure,Kure,Backreef,Mid,KUR,KUR,NOT,PMNM,0.694431419,1,,Kure,
NWHI,NWHI,Kure,Kure,Backreef,Shallow,KUR,KUR,NOT,PMNM,312.5339812,313,,Kure,
NWHI,NWHI,Maro,Maro,Backreef,Deep,MAR,MAR,NOT,PMNM,4466.87792,4467,,Maro,
NWHI,NWHI,Maro,Maro,Backreef,Mid,MAR,MAR,NOT,PMNM,3728.607834,3729,,Maro,
NWHI,NWHI,Midway,Midway,Backreef,Deep,MID,MID,NOT,PMNM,0.009372889,0,,Midway,
NWHI,NWHI,Midway,Midway,Backreef,Mid,MID,MID,NOT,PMNM,4.95344021,5,,Midway,
NWHI,NWHI,Midway,Midway,Backreef,Shallow,MID,MID,NOT,PMNM,409.997152,410,,Midway,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Backreef,Mid,PHR,PHR,NOT,PMNM,48.85735714,49,,Pearl & Hermes,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Backreef,Shallow,PHR,PHR,NOT,PMNM,1422.620999,1423,,Pearl & Hermes,
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_A,Forereef,Deep,TUT_NE,TUT_NE,NOT,AUNA,79.25,317,,TUT_AUNUU_A,
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_A,Forereef,Mid,TUT_NE,TUT_NE,NOT,AUNA,151.55944,606,,TUT_AUNUU_A,
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_A,Forereef,Shallow,TUT_NE,TUT_NE,NOT,AUNA,22.626828,91,,TUT_AUNUU_A,
SAMOA,TUT_STH,Tutuila,TUT_FAGALUA,Forereef,Deep,TUT_SW,TUT_SW,NOT,FAGL,7.729803,31,,TUT_FAGALUA_FAGATELE,
SAMOA,TUT_STH,Tutuila,TUT_FAGALUA,Forereef,Mid,TUT_SW,TUT_SW,NOT,FAGL,27.717142,111,,TUT_FAGALUA_FAGATELE,
SAMOA,TUT_STH,Tutuila,TUT_FAGALUA,Forereef,Shallow,TUT_SW,TUT_SW,NOT,FAGL,6.628024,27,,TUT_FAGALUA_FAGATELE,
NWHI,NWHI_NOT_NCRMP,Brooks,Brooks,Forereef,Deep,Brooks,Brooks,NOT,BANK,66.21195617,66,,Brooks,
NWHI,NWHI,French Frigate,French Frigate,Forereef,Deep,FFS,FFS,NOT,PMNM,247.22,3237,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Forereef,Mid,FFS,FFS,NOT,PMNM,4498.01,4787,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Forereef,Shallow,FFS,FFS,NOT,PMNM,652.92,849,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Lagoon,Mid,FFS,FFS,NOT,PMNM,7827.37,11060,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Lagoon,Shallow,FFS,FFS,NOT,PMNM,1900.78,2139,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Protected Slope,Deep,FFS,FFS,NOT,PMNM,8082.28,32329.12,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Protected Slope,Mid,FFS,FFS,NOT,PMNM,3420.42,13681.68,,French Frigate,
NWHI,NWHI,French Frigate,French Frigate,Protected Slope,Shallow,FFS,FFS,NOT,PMNM,1,4,,French Frigate,We have 2 sites now called Protected Slope Shallow. They possibly should be Lagoon or something else.. But we do need a sector value for now
NWHI,NWHI_NOT_NCRMP,Gardner,Gardner,Forereef,Deep,GAR,GAR,NOT,PMNM,28559.86045,28560,,Gardner,"Virtually no bathymetry, huge uncertainty, assuming 90% of roughly estimates bottom is in deep forereef"
NWHI,NWHI_NOT_NCRMP,Gardner,Gardner,Forereef,Mid,GAR,GAR,NOT,PMNM,1586.658914,1587,,Gardner,"Virtually no bathymetry, huge uncertainty, assuming 90% of roughly estimates bottom is in deep forereef"
NWHI,NWHI_NOT_NCRMP,Gardner,Gardner,Forereef,Shallow,GAR,GAR,NOT,PMNM,1586.658914,1587,,Gardner,"Virtually no bathymetry, huge uncertainty, assuming 90% of roughly estimates bottom is in deep forereef"
NWHI,NWHI,Kure,Kure,Forereef,Deep,KUR,KUR,NOT,PMNM,1122.511521,1123,,Kure,
NWHI,NWHI,Kure,Kure,Forereef,Mid,KUR,KUR,NOT,PMNM,1096.142722,1096,,Kure,
NWHI,NWHI,Kure,Kure,Forereef,Shallow,KUR,KUR,NOT,PMNM,219.8318451,220,,Kure,
NWHI,NWHI,Kure,Kure,Lagoon,Mid,KUR,KUR,NOT,PMNM,146.065072,146,,Kure,
NWHI,NWHI,Kure,Kure,Lagoon,Shallow,KUR,KUR,NOT,PMNM,801.5929159,802,,Kure,
NWHI,NWHI,Laysan,Laysan,Forereef,Deep,LAY,LAY,NOT,PMNM,1763.688407,1764,,Laysan,"Very rough guess, many many estimations"
NWHI,NWHI,Laysan,Laysan,Forereef,Mid,LAY,LAY,NOT,PMNM,1435.923054,1436,,Laysan,"Very rough guess, many many estimations"
NWHI,NWHI,Laysan,Laysan,Forereef,Shallow,LAY,LAY,NOT,PMNM,200,200,,Laysan,"Very rough guess, many many estimations"
NWHI,NWHI,Lisianski,Lisianski,Forereef,Deep,LIS,LIS,NOT,PMNM,14059.07869,14059,,Lisianski,Major unknowns in maps - habitat and bathymetry ..lots of guesstimation .. Potential to be VERY wrong
NWHI,NWHI,Lisianski,Lisianski,Forereef,Mid,LIS,LIS,NOT,PMNM,11054.46672,11054,,Lisianski,Major unknowns in maps - habitat and bathymetry ..lots of guesstimation .. Potential to be VERY wrong
NWHI,NWHI,Lisianski,Lisianski,Forereef,Shallow,LIS,LIS,NOT,PMNM,5841.383859,5841,,Lisianski,Major unknowns in maps - habitat and bathymetry ..lots of guesstimation .. Potential to be VERY wrong
NWHI,NWHI,Maro,Maro,Forereef,Deep,MAR,MAR,NOT,PMNM,5403.476117,5403,,Maro,
NWHI,NWHI,Maro,Maro,Forereef,Mid,MAR,MAR,NOT,PMNM,14308.88263,14309,,Maro,
NWHI,NWHI,Maro,Maro,Forereef,Shallow,MAR,MAR,NOT,PMNM,5894.320658,5894,,Maro,
NWHI,NWHI,Maro,Maro,Lagoon,Mid,MAR,MAR,NOT,PMNM,207.821398,208,,Maro,
NWHI,NWHI,Maro,Maro,Lagoon,Shallow,MAR,MAR,NOT,PMNM,182.6414462,183,,Maro,
NWHI,NWHI,Midway,Midway,Forereef,Deep,MID,MID,NOT,PMNM,1566.839533,1567,,Midway,
NWHI,NWHI,Midway,Midway,Forereef,Mid,MID,MID,NOT,PMNM,1472.589454,1473,,Midway,
NWHI,NWHI,Midway,Midway,Forereef,Shallow,MID,MID,NOT,PMNM,254.2145327,254,,Midway,
NWHI,NWHI,Midway,Midway,Lagoon,Deep,MID,MID,NOT,PMNM,0.005735694,0,,Midway,
NWHI,NWHI,Midway,Midway,Lagoon,Mid,MID,MID,NOT,PMNM,396.1011223,396,,Midway,
NWHI,NWHI,Midway,Midway,Lagoon,Shallow,MID,MID,NOT,PMNM,890.879595,891,,Midway,
NWHI,NWHI_NOT_NCRMP,Necker,Necker,Forereef,Deep,NEC,NEC,NOT,PMNM,491.2692997,491,,Necker,
NWHI,NWHI_NOT_NCRMP,Necker,Necker,Forereef,Mid,NEC,NEC,NOT,PMNM,136.8155079,137,,Necker,
NWHI,NWHI_NOT_NCRMP,Necker,Necker,Forereef,Shallow,NEC,NEC,NOT,PMNM,8.536971662,9,,Necker,
NWHI,NWHI_NOT_NCRMP,Nihoa,Nihoa,Forereef,Deep,NIH,NIH,NOT,PMNM,351.5016844,352,,Nihoa,Gaps in bathymetry
NWHI,NWHI_NOT_NCRMP,Nihoa,Nihoa,Forereef,Mid,NIH,NIH,NOT,PMNM,52.68378472,53,,Nihoa,Gaps in bathymetry
NWHI,NWHI_NOT_NCRMP,Nihoa,Nihoa,Forereef,Shallow,NIH,NIH,NOT,PMNM,5.680626717,6,,Nihoa,Gaps in bathymetry
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Forereef,Deep,PHR,PHR,NOT,PMNM,2427.794421,2428,,Pearl & Hermes,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Forereef,Mid,PHR,PHR,NOT,PMNM,5454.131479,5454,,Pearl & Hermes,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Forereef,Shallow,PHR,PHR,NOT,PMNM,615.6033439,616,,Pearl & Hermes,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Lagoon,Mid,PHR,PHR,NOT,PMNM,2681.950925,2682,,Pearl & Hermes,
NWHI,NWHI,Pearl & Hermes,Pearl & Hermes,Lagoon,Shallow,PHR,PHR,NOT,PMNM,5161.106161,5161,,Pearl & Hermes,
NWHI,NWHI_NOT_NCRMP,Pioneer,Pioneer,Forereef,Deep,Pioneer,Pioneer,NOT,BANK,5.320384168,5,,Pioneer,
NWHI,NWHI_NOT_NCRMP,Raita,Raita,Forereef,Deep,Raita,Raita,NOT,BANK,3118.12,3118,,Raita,
NWHI,NWHI_NOT_NCRMP,Raita,Raita,Forereef,Mid,Raita,Raita,NOT,BANK,335.75,336,,Raita,
NWHI,NWHI_NOT_NCRMP,StRogatine,StRogatine,Forereef,Deep,StRogatine,StRogatine,NOT,BANK,1726.935,1727,,StRogatine,
PRIAs,How_Bak,Baker,Baker,Forereef,Deep,BAK,BAK,NOT,PRIMNM,60.02154356,240,,Baker,
PRIAs,How_Bak,Baker,Baker,Forereef,Mid,BAK,BAK,NOT,PRIMNM,118.6325616,475,,Baker,
PRIAs,How_Bak,Baker,Baker,Forereef,Shallow,BAK,BAK,NOT,PRIMNM,211.6216964,846,,Baker,
PRIAs,How_Bak,Howland,Howland,Forereef,Deep,HOW,HOW,NOT,PRIMNM,18.78664183,75,,Howland,
PRIAs,How_Bak,Howland,Howland,Forereef,Mid,HOW,HOW,NOT,PRIMNM,40.21083959,161,,Howland,
PRIAs,How_Bak,Howland,Howland,Forereef,Shallow,HOW,HOW,NOT,PRIMNM,113.8553854,455,,Howland,
PRIAs,Jarvis,Jarvis,Jarvis,Forereef,Deep,JAR,JAR,NOT,PRIMNM,19.64306398,79,,Jarvis,
PRIAs,Jarvis,Jarvis,Jarvis,Forereef,Mid,JAR,JAR,NOT,PRIMNM,191.1130626,764,,Jarvis,
PRIAs,Jarvis,Jarvis,Jarvis,Forereef,Shallow,JAR,JAR,NOT,PRIMNM,155.1495257,621,,Jarvis,
PRIAs,Johnston,Johnston,Johnston,Backreef,Mid,JOH,JOH,NOT,PRIMNM,24.08,96,,Johnston,Assumes 80% hard - should pool this very small amout of mid with shallow
PRIAs,Johnston,Johnston,Johnston,Backreef,Shallow,JOH,JOH,NOT,PRIMNM,333.2,1333,,Johnston,Assumes 80% hard
PRIAs,Johnston,Johnston,Johnston,Forereef,Deep,JOH,JOH,NOT,PRIMNM,107.38,430,,Johnston,Assumes 98% hardbottom
PRIAs,Johnston,Johnston,Johnston,Forereef,Mid,JOH,JOH,NOT,PRIMNM,242.05,968,,Johnston,Assumes 98% hardbottom
PRIAs,Johnston,Johnston,Johnston,Forereef,Shallow,JOH,JOH,NOT,PRIMNM,283.22,1133,,Johnston,Assumes 98% hardbottom
PRIAs,Johnston,Johnston,Johnston,Lagoon,Deep,JOH,JOH,NOT,PRIMNM,7.76,31,,Johnston,Assumes 45% hardbottom - should definitely pool lagoon deep with lagoon moderate
PRIAs,Johnston,Johnston,Johnston,Lagoon,Mid,JOH,JOH,NOT,PRIMNM,1630.99,6524,,Johnston,Assumes 45% hardbottom
PRIAs,Johnston,Johnston,Johnston,Lagoon,Shallow,JOH,JOH,NOT,PRIMNM,1273.9,5096,,Johnston,Assumes 45% hardbottom
PRIAs,Johnston,Johnston,Johnston,Protected Slope,Deep,JOH,JOH,NA,NA,3223.37,12893.48,,Johnston,Assumes 50% hardbottom
PRIAs,Johnston,Johnston,Johnston,Protected Slope,Mid,JOH,JOH,NA,NA,2711.37,10845.48,,Johnston,Assumes 50% hardbottom
PRIAs,Johnston,Johnston,Johnston,Protected Slope,Shallow,JOH,JOH,NA,NA,6.88,27.52,,Johnston,Assumes 50% hardbottom - should pool shallow protected with mid
PRIAs,King_Pal,Kingman,Kingman,Backreef,Deep,KIN,KIN,NOT,PRIMNM,50.25,163,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Kingman,Kingman,Backreef,Mid,KIN,KIN,NOT,PRIMNM,203.25,739,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Kingman,Kingman,Backreef,Shallow,KIN,KIN,NOT,PRIMNM,380.75,989,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Kingman,Kingman,Forereef,Deep,KIN,KIN,NOT,PRIMNM,46.75,285,,Kingman,From Grids ASSUMES 99% Hard
PRIAs,King_Pal,Kingman,Kingman,Forereef,Mid,KIN,KIN,NOT,PRIMNM,282.5,2236,,Kingman,From Grids ASSUMES 99% Hard
PRIAs,King_Pal,Kingman,Kingman,Forereef,Shallow,KIN,KIN,NOT,PRIMNM,279,1140,,Kingman,From Grids ASSUMES 99% Hard
PRIAs,King_Pal,Kingman,Kingman,Lagoon,Deep,KIN,KIN,NOT,PRIMNM,876.75,4052,,Kingman,From Grids Assumes 60% hard bottom
PRIAs,King_Pal,Kingman,Kingman,Lagoon,Mid,KIN,KIN,NOT,PRIMNM,74.75,304,,Kingman,From Grids Assumes 60% hard bottom
PRIAs,King_Pal,Kingman,Kingman,Lagoon,Shallow,KIN,KIN,NOT,PRIMNM,0.25,2,,Kingman,From Grids Assumes 60% hard bottom
PRIAs,King_Pal,Kingman,Kingman,Protected Slope,Deep,KIN,KIN,NA,PRIMNM,229,756,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Kingman,Kingman,Protected Slope,Mid,KIN,KIN,NA,PRIMNM,1328.25,4786,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Kingman,Kingman,Protected Slope,Shallow,KIN,KIN,NA,PRIMNM,19.25,77,,Kingman,From Grids ASSUMES 90% Hard
PRIAs,King_Pal,Palmyra,Palmyra,Backreef,Deep,PAL,PAL,NOT,PRIMNM,11.58568484,46,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Backreef,Mid,PAL,PAL,NOT,PRIMNM,67.99264287,272,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Backreef,Shallow,PAL,PAL,NOT,PRIMNM,1246.94781,4988,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Forereef,Deep,PAL,PAL,NOT,PRIMNM,623.950261,2496,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Forereef,Mid,PAL,PAL,NOT,PRIMNM,1527.372655,6109,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Forereef,Shallow,PAL,PAL,NOT,PRIMNM,642.028097,2568,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Lagoon,Mid,PAL,PAL,NOT,PRIMNM,54.8903582,220,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,Lagoon,Shallow,PAL,PAL,NOT,PRIMNM,18.69397438,75,,Palmyra,
PRIAs,King_Pal,Palmyra,Palmyra,OTHER,OTHER,PAL,PAL,NA,NA,19.27986332,NA,,Palmyra,
PRIAs,Wake,Wake,Wake,Backreef,Deep,WAK,WAK,NOT,PRIMNM,0.008197859,0,,Wake,
PRIAs,Wake,Wake,Wake,Backreef,Mid,WAK,WAK,NOT,PRIMNM,5.530948577,22,,Wake,
PRIAs,Wake,Wake,Wake,Backreef,Shallow,WAK,WAK,NOT,PRIMNM,689.5000228,2758,,Wake,
PRIAs,Wake,Wake,Wake,Forereef,Deep,WAK,WAK,NOT,PRIMNM,59.48386537,238,,Wake,
PRIAs,Wake,Wake,Wake,Forereef,Mid,WAK,WAK,NOT,PRIMNM,102.2772869,409,,Wake,
PRIAs,Wake,Wake,Wake,Forereef,Shallow,WAK,WAK,NOT,PRIMNM,117.9897305,472,,Wake,
PRIAs,Wake,Wake,Wake,Lagoon,Shallow,WAK,WAK,NOT,PRIMNM,307.2366532,1229,,Wake,
SAMOA,Ofu & Olosega,Ofu & Olosega,Ofu & Olosega,Forereef,Deep,OFU,OFU,NOT,OPEN,303.685,1215,,Ofu & Olosega,Area calculated from 50*50 grids
SAMOA,Ofu & Olosega,Ofu & Olosega,Ofu & Olosega,Forereef,Mid,OFU,OFU,NOT,OPEN,369.0125,1476,,Ofu & Olosega,Area calculated from 50*50 grids
SAMOA,Ofu & Olosega,Ofu & Olosega,Ofu & Olosega,Forereef,Shallow,OFU,OFU,NOT,OPEN,120.675,483,,Ofu & Olosega,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_INNER,Backreef,Mid,ROS,ROS,NA,MPA,11.5,46,,ROS_INNER,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_INNER,Backreef,Shallow,ROS,ROS,NA,MPA,159.8562,639,,ROS_INNER,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_INNER,Lagoon,Deep,ROS,ROS,NA,MPA,74.5,298,,ROS_INNER,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_INNER,Lagoon,Mid,ROS,ROS,NA,MPA,27.5,110,,ROS_INNER,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_INNER,Lagoon,Shallow,ROS,ROS,NA,MPA,2.25,9,,ROS_INNER,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_SANCTUARY,Forereef,Deep,ROS,ROS,NA,MPA,16.5025,66,,ROS_SANCTUARY,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_SANCTUARY,Forereef,Mid,ROS,ROS,NA,MPA,85.3,341,,ROS_SANCTUARY,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_SANCTUARY,Forereef,Shallow,ROS,ROS,NA,MPA,18.4925,74,,ROS_SANCTUARY,Area calculated from 50*50 grids
SAMOA,Rose,Rose,ROS_UNSAMPLED,OTHER,OTHER,ROS,ROS,NA,MPA,46.345,NA,,ROS_UNSAMPLED,Area calculated from 50*50 grids
SAMOA,NOT,South Bank,South Bank,Forereef,Deep,South Bank,South Bank,NA,NA,25,NA,,South Bank,"Arbitrarily setting to 25ha, assuming also that it is all deep .. CRED found it hard to find any bottom < 30m"
SAMOA,Swains,Swains,SWA_OPEN,Forereef,Deep,SWA,SWA,NA,OPEN,2.930460683,12,,SWA_OPEN,
SAMOA,Swains,Swains,SWA_OPEN,Forereef,Mid,SWA,SWA,NA,OPEN,15.6128307,62,,SWA_OPEN,
SAMOA,Swains,Swains,SWA_OPEN,Forereef,Shallow,SWA,SWA,NA,OPEN,92.22740392,369,,SWA_OPEN,
SAMOA,Swains,Swains,SWA_SANCTUARY,Forereef,Deep,SWA,SWA,NA,MPA,9.371844797,37,,SWA_SANCTUARY,
SAMOA,Swains,Swains,SWA_SANCTUARY,Forereef,Mid,SWA,SWA,NA,MPA,41.80811022,167,,SWA_SANCTUARY,
SAMOA,Swains,Swains,SWA_SANCTUARY,Forereef,Shallow,SWA,SWA,NA,MPA,118.5523679,474,,SWA_SANCTUARY,
SAMOA,Tau,Tau,TAU_OPEN,Forereef,Deep,TAU,TAU,NOT,OPEN,179.335,717,,TAU_OPEN,Area calculated from 50*50 grids
SAMOA,Tau,Tau,TAU_OPEN,Forereef,Mid,TAU,TAU,NOT,OPEN,494.905,1980,,TAU_OPEN,Area calculated from 50*50 grids
SAMOA,Tau,Tau,TAU_OPEN,Forereef,Shallow,TAU,TAU,NOT,OPEN,119.3825,478,,TAU_OPEN,Area calculated from 50*50 grids
SAMOA,Tau,Tau,TAU_SANCTUARY,Forereef,Deep,TAU,TAU,NA,MPA,24.1775,97,,TAU_SANCTUARY,Area calculated from 50*50 grids
SAMOA,Tau,Tau,TAU_SANCTUARY,Forereef,Mid,TAU,TAU,NA,MPA,71.735,287,,TAU_SANCTUARY,Area calculated from 50*50 grids
SAMOA,Tau,Tau,TAU_SANCTUARY,Forereef,Shallow,TAU,TAU,NA,MPA,14.335,57,,TAU_SANCTUARY,Area calculated from 50*50 grids
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_B,Forereef,Deep,TUT,TUT,NA,AUNB,202.8,811,,TUT_AUNUU_B,
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_B,Forereef,Mid,TUT,TUT,NA,AUNB,40.8,163,,TUT_AUNUU_B,
SAMOA,TUT_NTH,Tutuila,TUT_AUNUU_B,Forereef,Shallow,TUT,TUT,NA,AUNB,0.2,1,,TUT_AUNUU_B,
SAMOA,TUT_STH,Tutuila,TUT_FAGATELE,Forereef,Deep,TUT,TUT,NA,FAGA,4.5,18,,TUT_FAGALUA_FAGATELE,
SAMOA,TUT_STH,Tutuila,TUT_FAGATELE,Forereef,Mid,TUT,TUT,NA,FAGA,20.2,81,,TUT_FAGALUA_FAGATELE,
SAMOA,TUT_STH,Tutuila,TUT_FAGATELE,Forereef,Shallow,TUT,TUT,NA,FAGA,9.4,38,,TUT_FAGALUA_FAGATELE,
SAMOA,TUT_NTH,Tutuila,TUT_NE_OPEN,Forereef,Deep,TUT,TUT,NA,OPEN,372.8,1174,,TUT_NE_OPEN,
SAMOA,TUT_NTH,Tutuila,TUT_NE_OPEN,Forereef,Mid,TUT,TUT,NA,OPEN,425,1094,,TUT_NE_OPEN,
SAMOA,TUT_NTH,Tutuila,TUT_NE_OPEN,Forereef,Shallow,TUT,TUT,NA,OPEN,272.9,1001,,TUT_NE_OPEN,
SAMOA,TUT_NTH,Tutuila,TUT_NW_OPEN,Forereef,Deep,TUT,TUT,NA,OPEN,257.7,1031,,TUT_NW_OPEN,
SAMOA,TUT_NTH,Tutuila,TUT_NW_OPEN,Forereef,Mid,TUT,TUT,NA,OPEN,220.3,881,,TUT_NW_OPEN,
SAMOA,TUT_NTH,Tutuila,TUT_NW_OPEN,Forereef,Shallow,TUT,TUT,NA,OPEN,130.4,522,,TUT_NW_OPEN,
