"OID_","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","FRAGMENT","JUVENILE","REMNANT","OLD_DEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Length","site_seg","SEGAREA","totaldead","COLONYID"
338,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105078111,"MAU-1222 15",2.5,NA,338
339,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05280353,"MAU-1222 15",2.5,NA,339
340,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089513334,"MAU-1222 15",2.5,NA,340
341,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PHSP",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13221488,"MAU-1222 15",2.5,NA,341
342,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078207295,"MAU-1222 15",2.5,NA,342
343,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287615586,"MAU-1222 15",2.5,NA,343
344,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PAVS",0,0,0,0,0,"ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091330115,"MAU-1222 15",2.5,NA,344
345,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079899405,"MAU-1222 15",2.5,NA,345
346,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,7,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124658572,"MAU-1222 15",2.5,NA,346
347,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"FASP",0,0,0,0,70,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105536337,"MAU-1222 15",2.5,NA,347
348,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487037319,"MAU-1222 15",2.5,NA,348
349,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"LPUR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097067751,"MAU-1222 15",2.5,NA,349
350,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123828774,"MAU-1222 15",2.5,NA,350
351,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,3,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106003739,"MAU-1222 15",2.5,NA,351
352,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226303469,"MAU-1222 15",2.5,NA,352
353,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,25,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286299847,"MAU-1222 15",2.5,NA,353
354,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PHSP",0,0,0,0,80,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273188777,"MAU-1222 15",2.5,NA,354
355,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121963226,"MAU-1222 15",2.5,NA,355
356,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,15,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130937827,"MAU-1222 15",2.5,NA,356
357,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,40,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112152221,"MAU-1222 15",2.5,NA,357
358,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071899136,"MAU-1222 15",2.5,NA,358
359,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.001907262,"MAU-1222 15",2.5,NA,359
360,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144236342,"MAU-1222 15",2.5,NA,360
361,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"ASSP",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051613968,"MAU-1222 15",2.5,NA,361
362,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,60,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218187769,"MAU-1222 15",2.5,NA,362
363,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,5,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051305982,"MAU-1222 15",2.5,NA,363
364,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"CYPS",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107006818,"MAU-1222 15",2.5,NA,364
365,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GOSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107164932,"MAU-1222 15",2.5,NA,365
366,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"POCS",0,0,0,0,25,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100005316,"MAU-1222 15",2.5,NA,366
367,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070059076,"MAU-1222 15",2.5,NA,367
368,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126734899,"MAU-1222 15",2.5,NA,368
369,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PPRO",0,0,0,0,5,"EM","PRED",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087364952,"MAU-1222 15",2.5,NA,369
370,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,3,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065630369,"MAU-1222 15",2.5,NA,370
371,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,70,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129929023,"MAU-1222 15",2.5,NA,371
372,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218765527,"MAU-1222 15",2.5,NA,372
373,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PHSP",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060199013,"MAU-1222 15",2.5,NA,373
374,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PHSP",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088019998,"MAU-1222 15",2.5,NA,374
375,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149152381,"MAU-1222 15",2.5,NA,375
376,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348665368,"MAU-1222 15",2.5,NA,376
377,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052226445,"MAU-1222 15",2.5,NA,377
378,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05444702,"MAU-1222 15",2.5,NA,378
379,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116872877,"MAU-1222 15",2.5,NA,379
380,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,40,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312811813,"MAU-1222 15",2.5,NA,380
381,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PHSP",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184406562,"MAU-1222 15",2.5,NA,381
382,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"GEDW",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052625608,"MAU-1222 15",2.5,NA,382
383,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084624456,"MAU-1222 15",2.5,NA,383
384,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058399927,"MAU-1222 15",2.5,NA,384
385,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26291737,"MAU-1222 15",2.5,NA,385
386,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"HCOE",0,0,0,0,5,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063284794,"MAU-1222 15",2.5,NA,386
387,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PVAR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084578869,"MAU-1222 15",2.5,NA,387
388,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089792331,"MAU-1222 15",2.5,NA,388
389,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,30,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075440344,"MAU-1222 15",2.5,NA,389
390,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,25,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243514972,"MAU-1222 15",2.5,NA,390
391,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"ACUR",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085195808,"MAU-1222 15",2.5,NA,391
392,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,1,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116469963,"MAU-1222 15",2.5,NA,392
393,"MSL",2022,"RA2201","MAU-1222","A","15",2.5,1,0,"AMYR",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131818233,"MAU-1222 15",2.5,NA,393
394,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027174485,"MAU-1222 15",1,NA,394
395,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PHSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026600318,"MAU-1222 15",1,NA,395
396,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"HCOE",0,0,-1,0,NA,"KN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024441926,"MAU-1222 15",1,NA,396
397,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024376181,"MAU-1222 15",1,NA,397
398,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010147137,"MAU-1222 15",1,NA,398
399,"MSL",2022,"RA2201","MAU-1222","A","15",1,1,0,"PSSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026198684,"MAU-1222 15",1,NA,399
400,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"TURS",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134524766,"MAU-1222 5",2.5,NA,400
401,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"AMYR",0,0,0,0,50,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193619366,"MAU-1222 5",2.5,NA,401
402,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PHSP",0,0,0,0,70,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085027869,"MAU-1222 5",2.5,NA,402
403,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PHSP",0,0,0,0,75,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09867921,"MAU-1222 5",2.5,NA,403
404,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04929109,"MAU-1222 5",2.5,NA,404
405,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022358224,"MAU-1222 5",1,NA,405
406,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030105851,"MAU-1222 5",1,NA,406
407,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GASP",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121118459,"MAU-1222 5",2.5,NA,407
408,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0898932,"MAU-1222 5",2.5,NA,408
409,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194554822,"MAU-1222 5",2.5,NA,409
410,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"FSTE",0,0,0,0,5,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075399898,"MAU-1222 5",2.5,NA,410
411,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"AMYR",0,0,0,0,60,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372892439,"MAU-1222 5",2.5,NA,411
412,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"FAVS",0,0,0,0,60,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069215287,"MAU-1222 5",2.5,NA,412
413,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GASP",0,0,0,0,10,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071287588,"MAU-1222 5",2.5,NA,413
414,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GASP",0,0,0,0,65,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156404934,"MAU-1222 5",2.5,NA,414
415,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"AMYR",0,0,0,0,20,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075722896,"MAU-1222 5",2.5,NA,415
416,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044450414,"MAU-1222 5",1,NA,416
417,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052493361,"MAU-1222 5",2.5,NA,417
418,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036152998,"MAU-1222 5",2.5,NA,418
419,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018957551,"MAU-1222 5",1,NA,419
420,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"ACUR",0,0,0,0,25,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100926683,"MAU-1222 5",2.5,NA,420
421,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,0,-1,0,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038408923,"MAU-1222 5",1,NA,421
422,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"PSSP",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020198864,"MAU-1222 5",1,NA,422
423,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PMEA",0,0,0,0,5,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189377856,"MAU-1222 5",2.5,NA,423
424,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,40,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17598893,"MAU-1222 5",2.5,NA,424
425,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,0,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11316257,"MAU-1222 5",2.5,NA,425
426,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,0,-1,0,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023508512,"MAU-1222 5",1,NA,426
427,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"FAVS",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08672863,"MAU-1222 5",2.5,NA,427
428,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060821238,"MAU-1222 5",2.5,NA,428
429,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073952147,"MAU-1222 5",2.5,NA,429
430,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,45,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062699131,"MAU-1222 5",2.5,NA,430
431,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"AMYR",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077603376,"MAU-1222 5",2.5,NA,431
432,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"FASP",0,0,0,0,15,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050085173,"MAU-1222 5",2.5,NA,432
433,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GEDW",0,0,0,0,0,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064391792,"MAU-1222 5",2.5,NA,433
434,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,40,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073086124,"MAU-1222 5",2.5,NA,434
435,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"GEDW",0,0,0,0,10,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06062236,"MAU-1222 5",2.5,NA,435
436,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07905844,"MAU-1222 5",2.5,NA,436
437,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"UNKN",0,0,-1,0,NA,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023175385,"MAU-1222 5",1,NA,437
438,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PHSP",0,0,0,0,70,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10334694,"MAU-1222 5",2.5,NA,438
439,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,15,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056048523,"MAU-1222 5",2.5,NA,439
440,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,15,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070613639,"MAU-1222 5",2.5,NA,440
441,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,10,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032880523,"MAU-1222 5",2.5,NA,441
442,"NBO",2022,"RA2201","MAU-1222","A","5",1,1,0,"HCOE",0,0,-1,0,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040441028,"MAU-1222 5",1,NA,442
443,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116579475,"MAU-1222 5",2.5,NA,443
444,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PVAR",0,0,0,0,80,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095169073,"MAU-1222 5",2.5,NA,444
445,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"HCOE",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183664516,"MAU-1222 5",2.5,NA,445
446,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PHSP",0,0,0,0,5,"EM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055117652,"MAU-1222 5",2.5,NA,446
447,"NBO",2022,"RA2201","MAU-1222","A","5",2.5,1,0,"PMEA",0,0,0,0,0,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048504704,"MAU-1222 5",2.5,NA,447
