"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","EX_BOUND","JUVENILE","FRAGMENT","REMNANT","OLDDEAD","MORPH_CODE","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","Shape_Leng","site_seg","SEGAREA","totaldead"
"52","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",5,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.262832058,"HAW-03433 10",2.5,5
"53","MSL",2019,"SE1902","HAW-03433","A","10",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.034391423,"HAW-03433 10",1,0
"54","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",20,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.144562513,"HAW-03433 10",2.5,20
"55","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",90,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.211437224,"HAW-03433 10",2.5,90
"56","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",25,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.218536153,"HAW-03433 10",2.5,25
"57","MSL",2019,"SE1902","HAW-03433","A","10",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.009343446,"HAW-03433 10",1,0
"58","CSC",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","MCAP","0",0,"0","0",40,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.220721771,"HAW-03433 10",2.5,40
"59","MSL",2019,"SE1902","HAW-03433","A","10",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.01190378,"HAW-03433 10",1,0
"60","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",95,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.238335834,"HAW-03433 10",2.5,95
"61","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PMEA","0",0,"0","0",0,"BR","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.070800282,"HAW-03433 10",2.5,0
"62","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",5,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.068365635,"HAW-03433 10",2.5,5
"63","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PMEA","0",0,"0","0",0,"BR","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.057445801,"HAW-03433 10",2.5,0
"64","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",70,"EF","NA",0,"NA",0,"NA",0,"ALG",5,0,"NA",0,0,"NA",0,0,0.077781746,"HAW-03433 10",2.5,70
"65","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",40,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.057366367,"HAW-03433 10",2.5,40
"66","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","PLOB","0",0,"0","0",80,"EM","PRED",10,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.203300763,"HAW-03433 10",2.5,90
"67","MSL",2019,"SE1902","HAW-03433","A","10",2.5,1,"0","MOSP","0",0,"0","0",30,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.051761183,"HAW-03433 10",2.5,30
"68","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PMEA","0",0,"0","0",0,"KN","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.057519562,"HAW-03433 15",2.5,0
"69","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PLOB","0",0,"0","0",50,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.179060939,"HAW-03433 15",2.5,50
"70","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PLOB","0",0,"0","0",40,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.215710269,"HAW-03433 15",2.5,40
"71","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PLOB","0",0,"0","0",90,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.325207765,"HAW-03433 15",2.5,90
"72","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","POSP","0",0,"0","0",95,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.293958909,"HAW-03433 15",2.5,95
"73","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PMEA","0",0,"0","0",5,"BR","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.120267244,"HAW-03433 15",2.5,5
"74","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PMEA","0",0,"0","0",0,"BR","NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.067571148,"HAW-03433 15",2.5,0
"75","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PLOB","0",0,"0","0",90,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.403531659,"HAW-03433 15",2.5,90
"76","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","PLOB","0",0,"0","0",40,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.107960038,"HAW-03433 15",2.5,40
"77","MSL",2019,"SE1902","HAW-03433","A","15",2.5,1,"0","MOSP","0",0,"0","0",20,"EF","NA",0,"NA",0,"NA",0,"BLE",20,2,"NA",0,0,"NA",0,0,0.261293436,"HAW-03433 15",2.5,20
"78","MSL",2019,"SE1902","HAW-03433","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.038246176,"HAW-03433 0",1,0
"79","CSC",2019,"SE1902","HAW-03433","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.007083785,"HAW-03433 0",1,0
"80","CSC",2019,"SE1902","HAW-03433","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.018847282,"HAW-03433 0",1,0
"81","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",3,"EM","FISH",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.293186511,"HAW-03434 0",2.5,4
"82","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",1,"EF","NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.106976867,"HAW-03434 0",2.5,1
"83","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.02875013,"HAW-03434 0",1,0
"84","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.028844411,"HAW-03434 0",1,0
"85","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",5,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.067589126,"HAW-03434 0",2.5,5
"86","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","POSP","0",0,"0","0",95,"EM","UNKN",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.261693638,"HAW-03434 0",2.5,96
"87","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.023926972,"HAW-03434 0",1,0
"88","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MPAT","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.024135037,"HAW-03434 0",1,0
"89","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",60,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.332713947,"HAW-03434 0",2.5,60
"90","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",50,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058496582,"HAW-03434 0",2.5,50
"91","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.040244875,"HAW-03434 0",1,0
"92","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",0,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.084064381,"HAW-03434 0",2.5,0
"93","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",10,"EM","FISH",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.344625304,"HAW-03434 0",2.5,11
"94","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",30,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.166414543,"HAW-03434 0",2.5,30
"95","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",35,"EF","FISH",1,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.282743417,"HAW-03434 0",2.5,36
"96","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",80,"EF","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.189519736,"HAW-03434 0",2.5,80
"97","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.010340696,"HAW-03434 0",1,0
"98","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","POSP","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.084225708,"HAW-03434 0",2.5,0
"99","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.050667248,"HAW-03434 0",2.5,0
"100","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.023930107,"HAW-03434 0",1,0
"101","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",65,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.246302762,"HAW-03434 0",2.5,65
"102","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.014234113,"HAW-03434 0",1,0
"103","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.017407182,"HAW-03434 0",1,0
"104","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.022366046,"HAW-03434 0",1,0
"105","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.016546904,"HAW-03434 0",1,0
"106","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.024782453,"HAW-03434 0",1,0
"107","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.006463745,"HAW-03434 0",1,0
"108","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.018952572,"HAW-03434 0",1,0
"109","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"BLE",100,1,"NA",0,0,0.054422881,"HAW-03434 0",2.5,0
"110","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",3,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.305730894,"HAW-03434 0",2.5,3
"111","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.016085086,"HAW-03434 0",1,0
"112","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",1,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.051580325,"HAW-03434 0",2.5,1
"113","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",10,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.219728241,"HAW-03434 0",2.5,10
"114","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PMEA","0",0,"0","0",0,"KN","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.063324561,"HAW-03434 0",2.5,0
"115","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.028129878,"HAW-03434 0",1,0
"116","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.04794184,"HAW-03434 0",1,0
"117","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.041175236,"HAW-03434 0",1,0
"118","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.055188767,"HAW-03434 0",2.5,0
"119","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.02474207,"HAW-03434 0",1,0
"120","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",0,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.072809339,"HAW-03434 0",2.5,0
"121","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.03347626,"HAW-03434 0",1,0
"122","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",1,"EM","NA",0,"NA",0,"NA",0,"SGA",10,0,"NA",0,0,"NA",0,0,0.09960492,"HAW-03434 0",2.5,1
"123","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.030736623,"HAW-03434 0",1,0
"124","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.028206383,"HAW-03434 0",1,0
"125","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.028353484,"HAW-03434 0",1,0
"126","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.103678928,"HAW-03434 0",2.5,0
"127","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",50,"EF","NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.127845611,"HAW-03434 0",2.5,50
"128","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PMEA","0",-1,"0","0",0,"KN","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.041330981,"HAW-03434 0",1,0
"129","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.018172781,"HAW-03434 0",1,0
"130","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MPAT","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.040101996,"HAW-03434 0",1,0
"131","MSL",2019,"SE1902","HAW-03434","A","0",1,1,"0","MPAT","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.029476262,"HAW-03434 0",1,0
"132","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",1,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.088025564,"HAW-03434 0",2.5,1
"133","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.093250737,"HAW-03434 0",2.5,0
"134","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",10,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.220215031,"HAW-03434 0",2.5,10
"135","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.061867761,"HAW-03434 0",2.5,0
"136","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",25,"EF","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.112589964,"HAW-03434 0",2.5,25
"137","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",25,"EF","NA",0,"NA",0,"NA",0,"BLE",100,1,"NA",0,0,"NA",0,0,0.096706256,"HAW-03434 0",2.5,25
"138","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",50,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.162071404,"HAW-03434 0",2.5,50
"139","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",60,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.11812269,"HAW-03434 0",2.5,60
"140","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",5,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.099436864,"HAW-03434 0",2.5,5
"141","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",40,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.421220251,"HAW-03434 0",2.5,40
"142","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",90,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.093985159,"HAW-03434 0",2.5,90
"143","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",50,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.165660889,"HAW-03434 0",2.5,50
"144","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","MCAP","0",0,"0","0",10,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.053218418,"HAW-03434 0",2.5,10
"145","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLOB","0",0,"0","0",5,"EF","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.158278362,"HAW-03434 0",2.5,5
"146","MSL",2019,"SE1902","HAW-03434","A","0",2.5,1,"0","PLUT","0",0,"0","0",5,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.172461011,"HAW-03434 0",2.5,5
"147","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.033112686,"HAW-03434 5",1,0
"148","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.047068673,"HAW-03434 5",1,0
"149","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.010117806,"HAW-03434 5",1,0
"150","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.043835374,"HAW-03434 5",1,0
"151","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","MCAP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.04012144,"HAW-03434 5",1,0
"152","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","MCAP","0",0,"0","0",50,"EF","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.076045843,"HAW-03434 5",2.5,50
"153","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.017252536,"HAW-03434 5",1,0
"154","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.02396414,"HAW-03434 5",1,0
"155","CSC",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","MCAP","0",0,"0","0",65,"EF","NA",0,"NA",0,"NA",0,"BLE",100,2,"NA",0,0,"NA",0,0,0.282399611,"HAW-03434 5",2.5,65
"156","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PMEA","0",0,"0","0",1,"BR","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.331493852,"HAW-03434 5",2.5,1
"157","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.121297651,"HAW-03434 5",2.5,0
"158","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",50,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.127225037,"HAW-03434 5",2.5,50
"159","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",5,"EF","NA",0,"NA",0,"NA",0,"ALG",5,0,"NA",0,0,"NA",0,0,0.051976148,"HAW-03434 5",2.5,5
"160","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",85,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.140602454,"HAW-03434 5",2.5,85
"161","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.021447844,"HAW-03434 5",1,0
"162","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","PLOB","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.016248384,"HAW-03434 5",1,0
"163","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.01457738,"HAW-03434 5",1,0
"164","MSL",2019,"SE1902","HAW-03434","A","5",1,1,"0","POSP","0",-1,"0","0",0,"EF","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.015065856,"HAW-03434 5",1,0
"165","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",1,"EM","NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.121442168,"HAW-03434 5",2.5,1
"166","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","MCAP","0",0,"0","0",65,"EF","NA",0,"NA",0,"NA",0,"BLE",20,3,"NA",0,0,"NA",0,0,0.808085918,"HAW-03434 5",2.5,65
"167","MSL",2019,"SE1902","HAW-03434","A","5",2.5,1,"0","PLOB","0",0,"0","0",10,"EM","NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.125312808,"HAW-03434 5",2.5,10
