"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY_","SPCODE","FRAGMENT_Y","MORPH_CODE","EX_BOUND","OLDDEAD","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","SHAPE_Leng","SEGAREA","site_seg"
430,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,85,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.351275405,2.5,"HAW-04259 5"
431,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.258999497,2.5,"HAW-04259 5"
432,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,35,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.154235275,2.5,"HAW-04259 5"
433,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.28634673,2.5,"HAW-04259 5"
434,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.232169873,2.5,"HAW-04259 5"
435,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,15,"NA",0,"NA",0,"NA",0,"ALG",3,0,"NA",0,0,"NA",0,0,0.323595874,2.5,"HAW-04259 5"
436,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"CO",0,10,"NA",0,"NA",0,"NA",0,"ALG",2,0,"NA",0,0,"NA",0,0,0.267029474,2.5,"HAW-04259 5"
437,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.117672257,2.5,"HAW-04259 5"
439,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.063556746,2.5,"HAW-04259 5"
440,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.054387131,2.5,"HAW-04259 5"
441,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.218542856,2.5,"HAW-04259 5"
442,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.13764131,2.5,"HAW-04259 5"
444,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.172107205,2.5,"HAW-04259 5"
445,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.110773868,2.5,"HAW-04259 5"
446,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.223757771,2.5,"HAW-04259 5"
447,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.064066372,2.5,"HAW-04259 5"
448,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PLOB",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.083073522,2.5,"HAW-04259 5"
449,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"CO",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.136819332,2.5,"HAW-04259 5"
450,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"CO",0,15,"NA",0,"NA",0,"NA",0,"ALG",1,0,"NA",0,0,"NA",0,0,0.110788537,2.5,"HAW-04259 5"
451,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.05317913,2.5,"HAW-04259 5"
452,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.075655601,2.5,"HAW-04259 5"
453,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,75,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.27812819,2.5,"HAW-04259 5"
454,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.172258063,2.5,"HAW-04259 5"
455,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,75,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.279061999,2.5,"HAW-04259 5"
456,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.09717335,2.5,"HAW-04259 5"
457,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.07729379,2.5,"HAW-04259 5"
458,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.299957231,2.5,"HAW-04259 5"
459,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,95,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.325467111,2.5,"HAW-04259 5"
460,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.05313991,2.5,"HAW-04259 5"
462,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.16368262,2.5,"HAW-04259 5"
463,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"CO",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.075749192,2.5,"HAW-04259 5"
464,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.216645333,2.5,"HAW-04259 5"
465,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.325634519,2.5,"HAW-04259 5"
466,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.2175,2.5,"HAW-04259 5"
467,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.159883739,2.5,"HAW-04259 5"
472,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.157040408,2.5,"HAW-04259 5"
473,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.374358826,2.5,"HAW-04259 5"
474,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.21800516,2.5,"HAW-04259 5"
475,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.105789224,2.5,"HAW-04259 5"
476,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,40,"UNKN",5,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.158838817,2.5,"HAW-04259 5"
477,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.335739556,2.5,"HAW-04259 5"
478,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.062264356,2.5,"HAW-04259 5"
479,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.143682462,2.5,"HAW-04259 5"
480,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.124842341,2.5,"HAW-04259 5"
481,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,35,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.279739541,2.5,"HAW-04259 5"
482,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.292162574,2.5,"HAW-04259 5"
483,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.149800534,2.5,"HAW-04259 5"
484,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"TLS",5,"NA",0,"NA",0,"TIN",5,0,"NA",0,0,"NA",0,0,0.08969621,2.5,"HAW-04259 5"
485,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.246048817,2.5,"HAW-04259 5"
486,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.096822982,2.5,"HAW-04259 5"
487,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.120765765,2.5,"HAW-04259 5"
488,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.18781379,2.5,"HAW-04259 5"
489,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.061313131,2.5,"HAW-04259 5"
490,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.075381497,2.5,"HAW-04259 5"
491,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.265223095,2.5,"HAW-04259 5"
492,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,75,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.164024541,2.5,"HAW-04259 5"
493,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.127232464,2.5,"HAW-04259 5"
494,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.068465758,2.5,"HAW-04259 5"
495,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.076670529,2.5,"HAW-04259 5"
496,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.260644202,2.5,"HAW-04259 5"
497,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.241630213,2.5,"HAW-04259 5"
498,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.141990317,2.5,"HAW-04259 5"
499,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.152825455,2.5,"HAW-04259 5"
500,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.262696042,2.5,"HAW-04259 5"
501,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.4303488,2.5,"HAW-04259 5"
506,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056402217,2.5,"HAW-04259 5"
507,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"MD",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.059649141,2.5,"HAW-04259 5"
508,"RS",2019,"SE1902","HAW-04259","5",2.5,1,0,"PCOM",0,"BR",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.079397733,2.5,"HAW-04259 5"
514,"MA",2019,"SE1902","HAW-04260","0",2.5,1,0,"PLOB",0,"MD",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.05896041,2.5,"HAW-04260 0"
517,"MA",2019,"SE1902","HAW-04260","0",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.053834004,2.5,"HAW-04260 0"
527,"RS",2019,"SE1902","HAW-04260","0",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.053337605,2.5,"HAW-04260 0"
542,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"KN",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.712122609,2.5,"HAW-04263 5"
543,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.081500001,2.5,"HAW-04263 5"
544,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,42,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.429806492,2.5,"HAW-04263 5"
545,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.051862317,2.5,"HAW-04263 5"
546,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.074582792,2.5,"HAW-04263 5"
547,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.210231516,2.5,"HAW-04263 5"
548,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.325590003,2.5,"HAW-04263 5"
549,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,18,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.201106986,2.5,"HAW-04263 5"
550,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"POSP",0,"EM",0,8,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.061313131,2.5,"HAW-04263 5"
552,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.314910733,2.5,"HAW-04263 5"
553,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.067338548,2.5,"HAW-04263 5"
554,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLUT",0,"EM",0,4,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056886202,2.5,"HAW-04263 5"
555,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,96,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.091913275,2.5,"HAW-04263 5"
556,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.059502101,2.5,"HAW-04263 5"
557,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.248149653,2.5,"HAW-04263 5"
558,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,9,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.139279037,2.5,"HAW-04263 5"
559,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,80,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.0945,2.5,"HAW-04263 5"
560,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.099666845,2.5,"HAW-04263 5"
561,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"KN",0,75,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.225640599,2.5,"HAW-04263 5"
562,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.077077882,2.5,"HAW-04263 5"
563,"CA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.127656766,2.5,"HAW-04263 5"
564,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"BR",0,40,"NA",0,"NA",0,"NA",0,"PTR",2,0,"ALG",10,0,"NA",0,0,0.594655565,2.5,"HAW-04263 5"
565,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.087848278,2.5,"HAW-04263 5"
566,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.051688781,2.5,"HAW-04263 5"
567,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"KN",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.097863425,2.5,"HAW-04263 5"
568,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.109076898,2.5,"HAW-04263 5"
569,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"KN",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.239956766,2.5,"HAW-04263 5"
570,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,3,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.189767437,2.5,"HAW-04263 5"
571,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.225916976,2.5,"HAW-04263 5"
572,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.464091585,2.5,"HAW-04263 5"
573,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,40,"TLS",5,"NA",0,"NA",0,"ALG",3,0,"NA",0,0,"NA",0,0,0.347614183,2.5,"HAW-04263 5"
574,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.06414959,2.5,"HAW-04263 5"
575,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.201639109,2.5,"HAW-04263 5"
576,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,2,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.050136613,2.5,"HAW-04263 5"
577,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.071936083,2.5,"HAW-04263 5"
578,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PCOM",0,"KN",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.057614668,2.5,"HAW-04263 5"
579,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.091654241,2.5,"HAW-04263 5"
580,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.156475748,2.5,"HAW-04263 5"
581,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,40,"NA",0,"NA",0,"NA",0,"DIS",5,0,"NA",0,0,"NA",0,0,0.181003647,2.5,"HAW-04263 5"
582,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,45,"FISH",2,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.150148793,2.5,"HAW-04263 5"
583,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,10,"NA",0,"NA",0,"NA",0,"ALG",2,0,"NA",0,0,"NA",0,0,0.235038763,2.5,"HAW-04263 5"
611,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.072639177,2.5,"HAW-04263 5"
612,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.146377934,2.5,"HAW-04263 5"
614,"MA",2019,"SE1902","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.062100079,2.5,"HAW-04263 5"
615,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",-1,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.46560131,2.5,"HAW-04263 5"
616,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PCOM",0,"BR",-1,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.256649353,2.5,"HAW-04263 5"
617,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",0,25,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.237258003,2.5,"HAW-04263 5"
618,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"POSP",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.089428909,2.5,"HAW-04263 5"
619,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PLOB",0,"EM",-1,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.203000886,2.5,"HAW-04263 5"
620,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PCOM",0,"BR",0,33,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.700511792,2.5,"HAW-04263 5"
622,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PLOB",0,"EF",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.130552556,2.5,"HAW-04263 5"
623,"AH",2019,"SE1902_MHI_LEG2","HAW-04263","5",2.5,1,0,"PLOB",0,"MD",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.316811506,2.5,"HAW-04263 5"
